Temperature,Pressure,x_gr_[Grt],x_spss_[Grt],tot x_prp,Mg#_[Grt],Si_pfu_[Bt],xTi_[Bt],Mg#_[Bt],Si_pfu_[mu],x_cel_[mu],x_pa_[mu],x_ab_[Pl],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570.4545455,5000,0,0,0,0,2.650276426,0.094187171,0.469366846,3.034509672,0.022253165,0.14780355,0.843403412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.4848485,5000,0,0,0,0,2.647447501,0.095487768,0.468599393,3.034974014,0.022421044,0.144121186,0.843352281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576.5151515,5000,0.022731739,0.218429321,0.125503494,0.164038635,2.649551267,0.09726318,0.463199268,3.035567323,0.02248229,0.140246424,0.844316281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579.5454545,5000,0.02203528,0.21102064,0.12306312,0.159237097,2.652592623,0.098814582,0.450191579,3.036479502,0.022466507,0.135175764,0.846104663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582.5757576,5000,0.021774456,0.215298781,0.123060547,0.160059606,2.651395996,0.100586654,0.449462979,3.037415588,0.022872524,0.129949687,0.845668575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585.6060606,5000,0.021525144,0.219526734,0.123079179,0.160912323,2.650192814,0.102384441,0.448733725,3.038313728,0.02326159,0.125021472,0.845124793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588.6363636,5000,0.021293206,0.223088643,0.122900974,0.161369623,2.64882526,0.104097145,0.447112736,3.039162252,0.023595831,0.120371666,0.844506397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591.6666667,5000,0.021081011,0.22585834,0.122492738,0.161355944,2.647206584,0.105701106,0.444409559,3.039960876,0.02386703,0.115977633,0.843812897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594.6969697,5000,0.020874449,0.228634188,0.122094575,0.161357345,2.645606657,0.107316688,0.441762114,3.040728545,0.024119897,0.111809424,0.842997457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597.7272727,5000,0.020687777,0.231416533,0.121703934,0.161373356,2.644018544,0.108943221,0.439171091,3.041466807,0.024358314,0.10784354,0.842057577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
