Temperature,Pressure,Si_pfu_[Bt],xTi_[Bt],Mg#_[Bt],x_ab_[Pl],x_tts_[Amp],Na_M4_[Amp],Ed_[Amp],Ts_[Amp],Al_pfu_[Cpx],Mg#_[Cpx],Ca_[Cpx],xjd_tot_[Cpx]
592.4242424,2888.888889,2.892357305,0.1000077,0.535408263,0.548484156,0.025235128,0.039334597,0.442173413,1.094436672,0,0,0,0
594.4444444,2888.888889,2.892392323,0.100923537,0.535344787,0.54799137,0.025485869,0.039230148,0.442291147,1.091926341,0,0,0,0
596.4646465,2888.888889,2.892428521,0.101840848,0.535282741,0.547508082,0.025736671,0.039121008,0.442417914,1.089451318,0,0,0,0
598.4848485,2888.888889,2.892466407,0.102759772,0.535219062,0.54701889,0.025987931,0.03901849,0.442552856,1.086968871,0,0,0,0
600.5050505,2888.888889,2.892507973,0.103689171,0.535156466,0.546542293,0.026238738,0.038910314,0.442699712,1.084529703,0,0,0,0
602.5252525,2888.888889,2.892554758,0.104611843,0.535093221,0.546067107,0.026491073,0.038802713,0.442860627,1.08212357,0,0,0,0
604.5454545,2888.888889,2.892599778,0.105542979,0.535033237,0.545601712,0.026743534,0.038692471,0.443023353,1.079739019,0,0,0,0
606.5656566,2888.888889,2.892657866,0.106475884,0.534984679,0.545130924,0.0269973,0.038588389,0.443210612,1.077381545,0,0,0,0
608.5858586,2888.888889,2.892701179,0.107405192,0.53491672,0.544668424,0.027250474,0.038481071,0.443389718,1.075017319,0,0,0,0
610.6060606,2888.888889,2.89275668,0.108351363,0.534850493,0.544197606,0.027504312,0.038379762,0.443586068,1.072654042,0,0,0,0
612.6262626,2888.888889,2.892820378,0.109284014,0.534809414,0.543757106,0.027760074,0.03826257,0.443808303,1.070430959,0,0,0,0
614.6464646,2888.888889,2.892877922,0.110217577,0.534752983,0.543299088,0.028016169,0.038160473,0.444031145,1.068142067,0,0,0,0
616.6666667,2888.888889,2.892939699,0.111157537,0.534697368,0.542852226,0.028272503,0.038051885,0.444266683,1.065902321,0,0,0,0
618.6868687,2888.888889,2.893006368,0.11210527,0.534639785,0.542408332,0.028528607,0.037944245,0.444513677,1.063685827,0,0,0,0
620.7070707,2888.888889,2.893067765,0.11305362,0.534593374,0.541968712,0.028786052,0.037836067,0.444766625,1.061475478,0,0,0,0
